Car Make,Car Model,Year,isElectric,Engine Size (L),Horsepower,Torque (lb-ft),0-60 MPH Time (seconds),Price (in USD)
BYD,Dolphin,2023,True,0.0,916,725,2.8,67563
Lada,Niva,2017,False,2.2,185,186,11.6,31048
Citroen,C5,2020,False,3.9,336,233,6.8,54233
Awdi,R8,2023,False,2.1,702,374,3.6,168583
Fourd,Mustang,2018,False,3.8,242,350,8.8,22409
Renault,Captur,2015,False,2.8,395,152,5.5,47340
Mitsubishi,Eclipse Cross,2015,False,1.2,108,187,8.9,16139
Hondda,Civic,2017,False,1.9,395,244,5.7,58624
Suzuki,Baleno,2017,False,1.0,100,102,7.9,23831
Hondda,CR-V,2016,False,1.4,159,163,5.3,41356
Opel,Grandland,2024,False,2.8,306,333,4.7,55484
Suzuki,Vitara,2021,False,1.9,82,169,8.3,32891
BYD,Tang,2015,False,1.4,144,205,4.6,43833
Proton,Iriz,2024,False,1.9,111,165,6.4,13603
Chery,Exeed,2016,False,1.8,98,172,10.1,26507
Mercedez,EQS,2020,True,0.0,470,439,5.1,101908
Skoda,Octavia,2021,False,1.6,394,153,5.4,28165
Ferarri,SF90,2020,False,5.4,584,315,2.7,112529
Infiniti,QX80,2018,False,1.2,268,285,8.2,53094
Lamborgini,Urus,2019,False,5.8,345,400,4.7,204189
Lexas,NX,2022,False,2.1,202,196,8.4,35100
Opel,Insignia,2023,False,2.8,229,284,4.7,31291
Volkswagon,Tiguan,2017,False,3.1,378,208,8.6,24367
Suzuki,Vitara,2022,False,2.4,102,206,9.2,30597
Renault,Captur,2015,False,3.2,134,159,6.4,76600
BYD,Tang,2017,False,3.3,355,310,6.6,71963
Peugeot,208,2023,False,2.1,355,258,8.4,54945
Chery,Arrizo,2017,False,1.4,114,126,11.8,21012
Acurra,MDX,2022,False,2.2,374,322,5.4,26485
Mazada,RX-8,2017,False,3.3,309,326,7.4,38916
Infiniti,Q60,2019,False,2.0,155,243,7.7,46848
Geely,Atlas,2019,False,2.2,159,196,8.4,26192
Fiat,500X,2021,False,1.8,148,153,10.2,20204
BYD,Han,2021,False,3.7,236,267,4.8,45714
Lexas,GS,2024,False,3.4,220,168,5.9,47226
Fourd,F-150,2016,False,3.5,253,343,8.1,29549
Volkswagon,Jetta,2016,False,3.1,213,265,7.2,25224
Fourd,Explorer,2022,False,2.8,172,259,7.5,59126
Suburu,Impreza,2021,False,2.3,249,245,5.9,75181
Hondda,CR-V,2015,False,3.8,184,191,8.4,61658
MG,HS,2024,False,1.5,388,292,6.7,50128
Infiniti,Q50,2023,False,3.8,326,345,8.7,48662
Perodua,Bezza,2024,False,1.2,194,126,8.5,19547
Awdi,Q7,2023,False,3.8,413,632,4.2,100495
Infiniti,QX50,2017,False,1.7,326,201,4.2,55676
BYD,Han,2021,False,2.1,311,251,7.9,75932
Fiat,Punto,2018,False,1.9,168,102,8.9,19078
Citroen,C5,2022,False,1.5,326,320,7.9,44839
Kia,Sorento,2017,False,1.0,118,204,8.2,25911
Chevrolett,Malibu,2017,False,2.3,391,232,7.1,56515
Ferarri,812 Superfast,2017,False,5.7,501,436,2.8,362144
Mercedez,E63 AMG,2015,False,2.8,762,611,5.5,125617
Ferarri,812 Superfast,2016,False,3.4,610,385,4.6,138422
Peugeot,208,2015,False,3.8,126,284,7.4,18116
Ferarri,488 GTB,2019,False,5.5,433,465,4.5,228183
Porche,Cayman,2015,False,6.2,701,586,4.7,345281
Suzuki,Jimny,2016,False,1.1,152,115,11.9,27816
Perodua,Aruz,2024,False,2.4,148,220,8.5,13937
Awdi,TT,2015,False,2.5,680,345,4.9,264696
Hyundai,Genesis,2020,False,2.3,220,337,4.2,24160
Porche,Taycan,2024,True,0.0,392,310,3.9,131904
Toyoto,Supra,2021,False,1.6,355,276,8.5,20219
Awdi,A8,2024,False,4.3,304,310,4.6,354761
Ferarri,488 GTB,2015,False,2.3,658,530,2.5,117390
Dacia,Duster,2016,False,2.5,189,93,7.6,18520
SsangYong,XLV,2018,False,1.2,188,211,6.6,39414
Perodua,Myvi,2023,False,1.8,88,124,9.3,26694
Mercedez,AMG GT,2017,False,5.5,795,510,5.5,277034
McLarren,570S,2023,False,6.2,750,417,2.9,82615
Suburu,Legacy,2018,False,2.0,213,265,7.0,48208
Chevrolett,Tahoe,2023,False,2.8,337,181,5.4,34188
Geely,Azkarra,2021,False,1.1,200,208,8.5,27428
Volkswagon,ID.4,2024,True,0.0,387,800,4.2,183947
Dacia,Sandero,2018,False,1.7,103,147,6.4,25224
Volkswagon,Tiguan,2024,False,1.9,322,332,5.1,72776
Chevrolett,Camaro,2023,False,3.5,154,262,4.6,43761
Hondda,NSX,2018,False,2.8,221,233,6.0,64430
Citroen,Picasso,2023,False,2.1,130,151,4.9,20616
Lamborgini,Aventador,2019,False,5.5,363,403,3.4,155717
Ferarri,F8 Tributo,2024,False,4.7,741,595,5.2,163618
Lada,Niva,2018,False,2.3,90,143,9.2,32262
BYD,Seal,2016,True,0.0,463,951,6.4,180487
BWM,330i,2018,False,2.4,634,326,4.5,374525
Skoda,Karoq,2024,False,3.3,285,176,6.4,75318
Proton,Exora,2021,False,1.2,179,147,8.7,33228
Ferarri,812 Superfast,2015,False,2.5,753,492,4.1,95644
Acurra,RDX,2017,False,3.4,274,218,5.2,77156
SsangYong,Tivoli,2016,False,3.3,245,257,4.5,23594
Lamborgini,Huracan,2024,False,3.0,657,340,3.8,395904
Awdi,Q7,2024,False,5.1,386,590,3.3,102676
MG,Cyberster,2017,False,2.4,285,259,8.6,50315
Porche,Boxster,2015,False,5.0,627,398,4.8,153327
Ferarri,F8 Tributo,2022,False,6.2,550,340,4.5,300284
Kia,Sorento,2024,False,1.8,157,131,7.0,23308
Volkswagon,Golf,2018,False,2.2,355,244,8.3,55605
Nisann,GT-R,2019,False,2.8,346,234,4.5,40516
Acurra,TSX,2021,False,3.5,206,198,5.7,29946
Chevrolett,Bolt,2015,True,0.0,589,849,5.1,126140
McLarren,570S,2022,False,6.0,304,570,5.1,118844
Hondda,Civic,2022,False,2.6,308,260,7.6,46121
Volkswagon,Passat,2017,False,3.3,291,160,5.8,24779
BYD,Seal,2016,True,0.0,660,535,2.9,110097
Citroen,Picasso,2017,False,2.9,298,183,6.8,61656
Lada,Largus,2019,False,1.2,196,101,11.1,8576
Peugeot,208,2018,False,3.1,283,345,7.5,49292
Renault,Megane,2020,False,2.6,198,289,8.4,73259
Lada,XRAY,2023,False,1.3,105,111,10.3,31106
Suzuki,Ignis,2022,False,1.0,72,206,7.9,24185
Chery,eQ1,2022,False,1.9,195,150,11.4,17475
Infiniti,Q50,2016,False,1.7,168,205,5.4,70760
MG,HS,2019,False,3.9,182,218,4.1,63831
Fiat,500X,2024,False,2.2,85,108,8.2,33520
Toyoto,Highlander,2020,False,1.5,315,170,5.7,64582
Acurra,NSX,2020,False,2.5,392,229,5.9,60029
Nisann,Leaf,2023,True,0.0,314,906,6.0,122729
Great Wall,Poer,2024,False,3.2,266,243,5.9,24665
Chevrolett,Corvette,2017,False,1.7,269,244,5.0,50774
Lada,Largus,2021,False,1.6,190,120,10.0,8087
Nisann,Rogue,2022,False,2.5,171,175,6.6,37628
Volkswagon,Tiguan,2023,False,2.5,230,220,8.1,64195
Awdi,Q5,2020,False,5.3,601,455,2.8,315404
Suburu,WRX,2023,False,3.5,328,299,9.0,30555
Ferarri,Portofino,2020,False,2.2,778,439,3.4,316260
McLarren,P1,2021,False,5.2,690,605,5.2,381768
Ferarri,SF90,2018,False,4.7,658,290,3.7,238705
Mitsubishi,Mirage,2017,False,1.8,107,199,8.9,21143
Citroen,Berlingo,2016,False,1.9,167,256,4.6,17741
BYD,Han,2021,False,3.5,383,183,4.7,70252
McLarren,570S,2020,False,3.1,489,438,5.4,353846
Volkswagon,Passat,2024,False,1.2,345,192,5.7,51803
Chery,Arrizo,2024,False,1.1,92,121,6.8,14170
Ferarri,SF90,2021,False,4.4,434,580,5.1,303608
Chery,Arrizo,2020,False,1.7,194,218,8.8,25889
Renault,Captur,2017,False,1.9,233,241,4.5,36433
Mitsubishi,Lancer,2016,False,1.9,103,169,7.9,34314
Chery,Tiggo,2020,False,1.1,148,140,9.3,20302
Mazada,CX-9,2021,False,3.0,126,248,5.1,22465
Hondda,Pilot,2023,False,3.2,321,252,7.8,52893
Chery,Exeed,2024,False,1.1,140,110,11.3,33597
Proton,X70,2024,False,1.2,106,105,8.5,32357
Teslla,Model 3,2016,True,0.0,523,904,3.9,186392
Opel,Crossland,2016,False,3.6,281,208,7.3,38185
Fiat,Punto,2019,False,2.4,195,147,8.2,21665
Geely,Emgrand,2015,False,2.3,130,120,11.4,21464
Awdi,Q7,2016,False,3.4,376,376,3.1,163885
Proton,Exora,2020,False,1.8,167,193,10.3,31755
Nisann,Sentra,2022,False,2.6,398,236,7.6,71112
Nisann,Rogue,2016,False,1.9,257,257,5.6,46010
BYD,Han,2015,False,1.1,220,243,8.4,52413
Dacia,Sandero,2023,False,1.4,135,198,9.2,31168
McLarren,P1,2019,False,2.1,644,429,2.8,193202
Suburu,WRX,2015,False,2.5,322,292,5.8,53989
Awdi,R8,2022,False,3.8,751,553,3.4,122949
Geely,Coolray,2019,False,2.4,121,200,9.5,17838
Geely,Azkarra,2015,False,1.2,103,111,10.6,13991
Acurra,RDX,2018,False,3.3,144,235,5.1,37457
Kia,Optima,2016,False,1.6,97,173,8.2,14610
Infiniti,Q50,2020,False,1.9,344,166,4.2,23648
Infiniti,QX50,2016,False,1.3,282,340,6.7,59895
Nisann,370Z,2020,False,3.3,135,245,4.6,78789
Chery,Exeed,2015,False,1.6,91,203,10.0,10720
Seat,Arona,2018,False,1.9,253,281,7.5,78204
Dacia,Logan,2023,False,1.8,172,165,7.6,32417
MG,Cyberster,2021,False,3.2,340,176,8.8,33382
Ferarri,F8 Tributo,2017,False,4.7,639,518,3.5,173149
Suburu,Legacy,2017,False,2.6,166,195,6.3,18669
Suzuki,Ignis,2017,False,1.9,126,201,9.7,18627
Kia,Sportage,2017,False,1.5,178,153,9.0,19076
Geely,Atlas,2020,False,1.7,142,164,7.7,20507
Chery,Exeed,2021,False,1.3,102,167,6.9,13792
Chevrolett,Tahoe,2017,False,2.9,203,320,4.7,35704
Proton,Exora,2015,False,2.5,102,102,10.1,27589
Fourd,Mach-E,2019,True,0.0,930,527,3.7,76877
MG,5,2019,False,2.6,205,297,5.2,57774
SsangYong,Korando,2016,False,2.2,183,256,6.2,24357
Seat,Ateca,2021,False,4.0,304,307,8.2,76486
Perodua,Bezza,2017,False,1.8,133,142,8.4,34230
Lamborgini,Murcielago,2016,False,4.6,393,332,3.2,194428
Lamborgini,Huracan,2023,False,4.3,756,623,4.1,171753
Chery,eQ1,2023,False,1.7,121,188,8.8,13899
Peugeot,508,2018,False,3.5,259,323,4.1,71851
Hyundai,Sonata,2021,False,2.3,284,306,7.7,55438
SsangYong,Korando,2024,False,2.8,362,186,4.2,60965
SsangYong,Rexton,2015,False,2.2,385,311,7.9,40521
Suzuki,Jimny,2016,False,2.3,135,180,7.4,11309
MG,HS,2024,False,1.5,251,341,8.4,15817
BYD,Atto 3,2024,True,0.0,435,693,5.5,178522
Volkswagon,Golf,2019,False,3.7,342,344,7.8,27370
MG,Marvel R,2018,True,0.0,688,934,2.2,189006
Dacia,Lodgy,2020,False,2.4,150,162,6.6,8826
Dacia,Sandero,2023,False,1.0,167,117,7.1,33974
Ferarri,Roma,2018,False,6.4,534,627,2.7,396497
Skoda,Karoq,2020,False,1.3,302,192,6.2,21664
Peugeot,508,2023,False,3.2,340,208,5.3,15034
Perodua,Alza,2017,False,2.3,140,198,7.4,33792
Peugeot,3008,2023,False,3.2,286,150,6.0,56224
BYD,Tang,2015,False,1.7,266,201,4.6,18155
Nisann,GT-R,2024,False,2.8,282,262,6.4,42647
Kia,Forte,2016,False,1.5,172,141,8.8,12308
Perodua,Alza,2019,False,1.0,133,195,8.8,20683
Lada,XRAY,2024,False,1.5,182,141,9.4,22291
BWM,X5,2023,False,3.5,540,464,5.4,99512
Kia,Stinger,2016,False,2.1,188,116,9.4,22980
Lamborgini,Urus,2017,False,2.6,570,542,2.9,390268
Hyundai,Ioniq,2019,True,0.0,286,902,5.2,89835
Lada,Largus,2024,False,1.1,115,211,7.9,26487
McLarren,570S,2024,False,6.1,557,477,5.4,390689
SsangYong,Rexton,2023,False,2.9,306,191,4.4,74889
Great Wall,Poer,2023,False,2.6,370,169,8.1,67267
McLarren,Artura,2015,False,2.1,541,387,5.0,322003
Fiat,Panda,2020,False,1.4,85,180,6.0,19997
Nisann,Altima,2024,False,3.7,159,281,8.5,75820
Teslla,Model 3,2022,True,0.0,901,801,6.2,80628
Kia,Forte,2020,False,2.3,70,98,10.7,18441
BWM,M5,2021,False,3.9,332,525,4.1,184907
Nisann,Rogue,2018,False,2.8,216,198,8.7,48498
BYD,Seal,2016,True,0.0,547,995,2.5,92018
Teslla,Model Y,2016,True,0.0,544,915,5.2,83966
Infiniti,Q50,2020,False,1.4,375,239,8.7,44225
Acurra,MDX,2020,False,1.7,165,201,7.4,22708
Skoda,Kodiaq,2018,False,1.8,172,250,6.6,49170
Suburu,WRX,2015,False,2.7,354,318,5.7,16510
Awdi,TT,2024,False,5.5,548,639,5.5,215584
Fiat,500X,2021,False,1.0,115,201,11.8,26656
BYD,Tang,2016,False,1.3,139,290,4.9,27075
Hyundai,Ioniq,2017,True,0.0,621,669,2.9,114028
Dacia,Spring,2016,False,1.7,174,93,10.6,17756
Chery,eQ1,2019,False,1.6,172,202,7.8,32263
Awdi,TT,2020,False,2.4,411,632,3.0,235625
Nisann,Sentra,2021,False,2.9,293,212,6.3,15821
Toyoto,Supra,2019,False,2.8,367,194,4.4,72218
SsangYong,Musso,2024,False,2.3,309,157,7.3,20691
Lada,Granta,2024,False,2.5,134,142,7.1,9768
Peugeot,2008,2018,False,1.5,251,237,6.8,41283
Dacia,Logan,2022,False,2.0,198,109,11.4,16300
Infiniti,QX50,2024,False,2.0,137,250,7.3,65609
SsangYong,Musso,2015,False,1.7,167,290,5.8,36597
Skoda,Fabia,2021,False,1.6,224,346,5.6,44178
Nisann,Sentra,2019,False,2.4,304,251,6.7,50856
Nisann,Sentra,2022,False,2.5,279,279,5.9,64538
Volkswagon,Golf,2023,False,1.5,213,207,7.0,21560
Great Wall,Cannon,2016,False,3.0,210,327,8.8,16395
BWM,i8,2019,True,0.0,909,759,5.1,175252
Perodua,Axia,2016,False,2.4,151,205,11.5,17591
BWM,i4,2017,True,0.0,286,400,3.6,54080
Fourd,Explorer,2022,False,2.2,163,276,5.2,75021
SsangYong,Tivoli,2021,False,3.3,121,312,6.3,40453
Porche,Taycan,2016,True,0.0,504,735,6.4,98817
Porche,Macan,2019,False,3.0,340,393,4.1,326179
Chery,Tiggo,2017,False,1.8,124,99,10.8,11314
Great Wall,Poer,2019,False,3.3,190,288,6.8,49418
Mazada,Mazda6,2021,False,2.0,144,349,7.5,24714
Hyundai,Genesis,2023,False,1.1,383,246,4.3,21233
Geely,Emgrand,2023,False,2.2,120,108,10.8,33087
Peugeot,2008,2015,False,3.0,176,267,5.7,48632
McLarren,570S,2023,False,3.5,543,460,3.2,155705
Awdi,Q7,2017,False,2.0,678,442,3.4,348136
Skoda,Fabia,2021,False,2.5,291,308,5.0,35942
Kia,Soul,2021,False,1.4,93,109,8.4,33255
Seat,Ibiza,2019,False,1.2,316,307,5.8,31943
Ferarri,Portofino,2021,False,2.6,323,647,2.7,99060
Perodua,Aruz,2024,False,1.4,100,151,7.5,16681
Peugeot,5008,2023,False,2.7,295,289,5.5,44949
BYD,Tang,2016,False,3.7,369,226,8.2,49242
Volkswagon,Golf,2019,False,3.3,380,163,8.3,30795
Suzuki,Ignis,2020,False,1.5,89,132,6.9,14539
Mitsubishi,Mirage,2021,False,2.5,116,181,6.3,19568
Perodua,Myvi,2018,False,1.6,111,91,9.9,17467
Dacia,Sandero,2021,False,1.8,189,197,10.9,15986
Fourd,Mustang,2020,False,1.7,270,230,7.0,32933
Hyundai,Santa Fe,2016,False,2.3,389,264,6.7,32502
Teslla,Model S,2024,True,0.0,968,1036,3.7,102857
Geely,Coolray,2018,False,2.5,138,194,10.5,10490
Opel,Grandland,2018,False,2.8,157,186,8.2,34924
Volkswagon,Jetta,2021,False,2.8,129,248,4.9,71315
Infiniti,QX80,2021,False,3.8,246,326,5.2,65679
Mazada,Mazda6,2019,False,2.5,205,278,6.4,73813
Geely,Azkarra,2015,False,1.9,115,207,11.7,28924
Lexas,NX,2019,False,2.0,157,248,6.7,42731
Awdi,R8,2023,False,5.7,369,441,3.5,264906
Volkswagon,Passat,2024,False,1.6,341,266,5.9,16975
Hondda,CR-V,2016,False,1.9,238,230,5.3,21038
Mercedez,C63 AMG,2019,False,4.5,675,558,3.5,380561
Lexas,IS,2017,False,3.0,336,345,5.2,40285
Chery,Arrizo,2017,False,2.0,192,181,7.3,29213
Chevrolett,Silverado,2022,False,1.8,260,174,6.5,59260
Porche,Taycan,2015,True,0.0,822,928,3.7,146074
Mercedez,EQS,2019,True,0.0,475,800,2.2,157750
BWM,330i,2016,False,4.1,453,644,3.0,175950
Ferarri,Portofino,2016,False,5.7,610,326,4.9,207879
Opel,Crossland,2020,False,1.5,371,228,4.2,46938
Toyoto,Prius,2024,True,0.0,973,578,5.2,194019
Skoda,Kodiaq,2018,False,3.6,282,329,7.1,39038
Skoda,Octavia,2016,False,1.8,397,158,4.5,62967
McLarren,720S,2019,False,3.8,711,535,2.7,323052
Seat,Ibiza,2023,False,3.6,347,342,5.9,69228
Mazada,CX-5,2020,False,3.8,385,176,6.8,53349
Chery,Tiggo,2024,False,2.3,163,117,11.6,13411
Chevrolett,Corvette,2017,False,1.4,194,330,4.7,69316
Suburu,WRX,2018,False,3.8,131,181,4.8,53995
Toyoto,RAV4,2023,False,2.5,124,159,4.9,53720
Infiniti,Q60,2023,False,2.7,348,276,6.4,72316
SsangYong,Musso,2015,False,1.3,301,196,8.3,65854
Skoda,Fabia,2020,False,2.9,171,271,7.3,25626
Volkswagon,Passat,2019,False,3.1,303,248,8.1,19021
Proton,Exora,2022,False,2.4,85,145,11.4,30109
Skoda,Kodiaq,2018,False,1.4,188,299,6.4,52377
Opel,Grandland,2017,False,4.0,339,304,5.5,63877
Skoda,Fabia,2016,False,2.8,354,236,5.1,77527
Lada,Vesta,2018,False,1.3,80,190,11.1,12190
Chery,Arrizo,2018,False,2.2,177,125,9.0,28173
Suburu,WRX,2015,False,2.1,374,288,8.0,35682
Toyoto,Camry,2018,False,2.1,277,249,8.2,63583
Suzuki,Vitara,2021,False,1.8,70,102,8.5,23685
Suburu,Ascent,2016,False,2.7,227,231,8.5,33115
Suzuki,Vitara,2017,False,1.4,71,200,11.7,15591
Peugeot,308,2019,False,2.6,214,283,8.8,16298
Chevrolett,Corvette,2023,False,2.8,399,214,5.8,24537
BYD,Atto 3,2023,True,0.0,759,1023,6.4,87270
Lada,Largus,2016,False,2.0,158,105,6.1,31893
Porche,Boxster,2024,False,5.9,616,601,5.0,332195
McLarren,720S,2024,False,5.6,736,330,5.0,329654
MG,Cyberster,2020,False,3.4,171,163,8.0,78362
Renault,Clio,2022,False,3.0,357,239,8.0,52758
McLarren,P1,2016,False,3.1,601,393,4.4,246485
Hondda,Pilot,2016,False,2.7,160,238,5.1,30835
BYD,Han,2024,False,1.5,230,219,5.6,46973
Dacia,Sandero,2015,False,2.1,160,206,9.7,34012
Skoda,Kodiaq,2021,False,1.2,150,264,6.8,54666
Mercedez,C63 AMG,2017,False,5.1,423,576,2.9,157585
Fourd,Focus,2024,False,1.8,349,278,6.4,24824
Lada,Niva,2018,False,2.1,80,91,9.3,14614
Seat,Tarraco,2024,False,1.5,123,193,5.4,26827
Peugeot,2008,2024,False,3.8,204,217,7.8,60280
Fourd,Explorer,2021,False,1.8,262,296,6.7,17751
Teslla,Model Y,2015,True,0.0,805,785,2.3,61709
Lamborgini,Urus,2016,False,3.7,516,364,4.3,122113
Seat,Ateca,2023,False,3.7,196,264,7.5,72063
Perodua,Axia,2017,False,1.4,144,108,8.4,11518
Suzuki,Jimny,2022,False,1.2,185,121,10.5,11771
Volkswagon,Jetta,2018,False,2.3,288,205,7.4,37722
Acurra,TLX,2019,False,2.4,304,156,4.9,48713
Ferarri,SF90,2022,False,4.6,337,643,5.3,127470
Volkswagon,Passat,2015,False,3.1,379,247,5.0,58923
Mitsubishi,Eclipse Cross,2018,False,1.9,75,136,7.0,11408
BWM,X3,2022,False,4.8,440,600,5.3,225501
Porche,Cayman,2022,False,3.6,599,560,5.4,329153
Chevrolett,Bolt,2022,True,0.0,341,748,3.3,199356
Peugeot,208,2024,False,3.6,242,227,4.6,37611
MG,HS,2023,False,1.3,268,315,4.6,37078
Nisann,Altima,2016,False,2.9,266,168,8.0,66828
Geely,Azkarra,2017,False,2.2,99,157,8.3,27841
Suzuki,Jimny,2015,False,1.2,96,212,6.2,31496
MG,ZS,2022,False,3.6,271,183,8.1,31657
Hondda,Pilot,2022,False,3.6,263,255,5.1,21587
Ferarri,Portofino,2020,False,5.0,440,386,3.5,86603
Infiniti,QX80,2020,False,3.5,185,248,4.9,29654
Proton,Saga,2024,False,1.0,115,128,10.6,17648
Chery,eQ1,2021,False,1.4,113,207,7.4,18006
Lexas,RX,2020,False,3.2,383,189,8.4,57167
Chery,Arrizo,2023,False,2.4,127,98,11.7,16106
MG,5,2018,False,3.2,242,319,4.3,64731
Lexas,LS,2023,False,3.8,202,191,8.5,33942
Dacia,Duster,2017,False,1.9,151,100,9.0,10115
Hyundai,Tucson,2017,False,1.7,214,272,8.5,57970
Perodua,Aruz,2024,False,1.7,73,207,11.3,14326
Acurra,RDX,2024,False,2.5,273,340,5.2,29667
Chery,Exeed,2020,False,1.1,172,130,10.4,31262
Opel,Astra,2015,False,2.6,315,260,8.6,35932
Skoda,Kodiaq,2016,False,3.2,220,172,6.5,49581
Lamborgini,Murcielago,2024,False,3.1,403,463,3.4,267349
Chery,Tiggo,2021,False,2.0,103,205,7.2,34509
Hyundai,Tucson,2022,False,3.4,390,211,4.8,58388
Volkswagon,Jetta,2020,False,2.8,268,169,9.0,34062
Chery,Tiggo,2022,False,1.4,177,179,8.9,14029
Porche,Boxster,2022,False,2.7,632,560,4.5,82076
Kia,Forte,2021,False,2.2,125,178,7.8,27034
BYD,Dolphin,2020,True,0.0,892,806,3.6,68850
BYD,Atto 3,2024,True,0.0,605,536,6.4,65022
Awdi,TT,2019,False,2.9,735,297,3.5,205006
Kia,Sorento,2020,False,2.3,159,111,11.5,25800
Kia,Sorento,2015,False,2.2,103,142,7.5,15839
Awdi,Q7,2020,False,4.7,575,648,4.2,320636
Seat,Leon,2022,False,1.6,263,239,5.8,65605
Peugeot,2008,2022,False,2.1,184,293,8.4,21341
Awdi,A8,2020,False,3.3,707,509,3.0,310621
Volkswagon,Jetta,2024,False,1.6,357,291,7.8,58041
Lada,Vesta,2018,False,1.7,92,90,6.6,9235
Chevrolett,Camaro,2023,False,1.9,242,230,6.9,40099
